"Locatie";"Tagnaam";"Datum";"Tijd (Europe/Amsterdam)";"Waarde";"Valid flag"
"DYLP029A";"B1_mwf";"2016-09-05";"01:00:00";"1008,2";""
"DYLP029A";"B1_mwf";"2016-09-05";"02:00:00";"1007,6";""
"DYLP029A";"B1_mwf";"2016-09-05";"03:00:00";"1006,88";""
"DYLP029A";"B1_mwf";"2016-09-05";"04:00:00";"1006,68";""
"DYLP029A";"B1_mwf";"2016-09-05";"05:00:00";"1006,78";""
"DYLP029A";"B1_mwf";"2016-09-05";"06:00:00";"1006,98";""
"DYLP029A";"B1_mwf";"2016-09-05";"07:00:00";"1007,5";""
"DYLP029A";"B1_mwf";"2016-09-05";"08:00:00";"1007,7";""
"DYLP029A";"B1_mwf";"2016-09-05";"09:00:00";"1009,85";""
"DYLP029A";"B1_mwf";"2016-09-05";"10:00:00";"1013,63";""
"DYLP029A";"B1_mwf";"2016-09-05";"11:00:00";"1016,88";""
"DYLP029A";"B1_mwf";"2016-09-05";"12:00:00";"1020,45";""
"DYLP029A";"B1_mwf";"2016-09-05";"13:00:00";"1024,13";""
"DYLP029A";"B1_mwf";"2016-09-05";"14:00:00";"1029,63";""
"DYLP029A";"B1_mwf";"2016-09-05";"15:00:00";"1030,85";""
"DYLP029A";"B1_mwf";"2016-09-05";"16:00:00";"1035,3";""
"DYLP029A";"B1_mwf";"2016-09-05";"17:00:00";"1034,1";""
"DYLP029A";"B1_mwf";"2016-09-05";"18:00:00";"1032,47";""
"DYLP029A";"B1_mwf";"2016-09-05";"19:00:00";"1031,25";""
"DYLP029A";"B1_mwf";"2016-09-05";"20:00:00";"1026,88";""
"DYLP029A";"B1_mwf";"2016-09-05";"21:00:00";"1020,35";""
"DYLP029A";"B1_mwf";"2016-09-05";"22:00:00";"1014,95";""
"DYLP029A";"B1_mwf";"2016-09-05";"23:00:00";"1011,68";""
"DYLP029A";"B1_mwf";"2016-09-06";"00:00:00";"1009,13";""
"DYLP029A";"B1_mwf";"2016-09-06";"01:00:00";"1008,4";""
"DYLP029A";"B1_mwf";"2016-09-06";"02:00:00";"1008,2";""
"DYLP029A";"B1_mwf";"2016-09-06";"03:00:00";"1008,63";""
"DYLP029A";"B1_mwf";"2016-09-06";"04:00:00";"1009,13";""
"DYLP029A";"B1_mwf";"2016-09-06";"05:00:00";"1009,75";""
"DYLP029A";"B1_mwf";"2016-09-06";"06:00:00";"1009,95";""
"DYLP029A";"B1_mwf";"2016-09-06";"07:00:00";"1010,5";""
"DYLP029A";"B1_mwf";"2016-09-06";"08:00:00";"1010,45";""
"DYLP029A";"B1_mwf";"2016-09-06";"09:00:00";"1013,2";""
"DYLP029A";"B1_mwf";"2016-09-06";"10:00:00";"1016,98";""
"DYLP029A";"B1_mwf";"2016-09-06";"11:00:00";"1021,98";""
"DYLP029A";"B1_mwf";"2016-09-06";"12:00:00";"1027,68";""
"DYLP029A";"B1_mwf";"2016-09-06";"13:00:00";"1032,68";""
"DYLP029A";"B1_mwf";"2016-09-06";"14:00:00";"1037,8";""
"DYLP029A";"B1_mwf";"2016-09-06";"15:00:00";"1037,8";""
"DYLP029A";"B1_mwf";"2016-09-06";"16:00:00";"1036,45";""
"DYLP029A";"B1_mwf";"2016-09-06";"17:00:00";"1036,75";""
"DYLP029A";"B1_mwf";"2016-09-06";"18:00:00";"1037,38";""
"DYLP029A";"B1_mwf";"2016-09-06";"19:00:00";"1036,45";""
"DYLP029A";"B1_mwf";"2016-09-06";"20:00:00";"1032,8";""
"DYLP029A";"B1_mwf";"2016-09-06";"21:00:00";"1025,35";""
"DYLP029A";"B1_mwf";"2016-09-06";"22:00:00";"1018,4";""
"DYLP029A";"B1_mwf";"2016-09-06";"23:00:00";"1012,6";""
